TIME,TIME,DATE,TIMING,MONTH,DAY,HOUR,LOCATION,PEDESTRIANS,BICYCLISTS,CARS,BUSES,TRUCKS,LATITUDE,LONGITUDE,DAY_OF_WEEK,WEEKEND
2019-10-28 12:15:00-04:00,2019-10-28 12:15:00-04:00,2019-10-28,12:15:00,10,28,12,Campus_Dr_&_Presidential_Ave,2,2,99,3,6,38.985440,-76.954820,0,0
2019-10-28 12:30:00-04:00,2019-10-28 12:30:00-04:00,2019-10-28,12:30:00,10,28,12,Campus_Dr_&_Presidential_Ave,4,5,89,1,6,38.985440,-76.954820,0,0
2019-10-28 12:45:00-04:00,2019-10-28 12:45:00-04:00,2019-10-28,12:45:00,10,28,12,Campus_Dr_&_Presidential_Ave,3,1,108,3,4,38.985440,-76.954820,0,0
2019-10-28 13:00:00-04:00,2019-10-28 13:00:00-04:00,2019-10-28,13:00:00,10,28,13,Campus_Dr_&_Presidential_Ave,6,0,99,1,3,38.985440,-76.954820,0,0
2019-10-28 13:15:00-04:00,2019-10-28 13:15:00-04:00,2019-10-28,13:15:00,10,28,13,Campus_Dr_&_Presidential_Ave,3,1,88,4,3,38.985440,-76.954820,0,0
2019-10-28 13:30:00-04:00,2019-10-28 13:30:00-04:00,2019-10-28,13:30:00,10,28,13,Campus_Dr_&_Presidential_Ave,1,0,93,0,1,38.985440,-76.954820,0,0
2019-10-28 13:45:00-04:00,2019-10-28 13:45:00-04:00,2019-10-28,13:45:00,10,28,13,Campus_Dr_&_Presidential_Ave,6,0,109,2,3,38.985440,-76.954820,0,0
2019-10-28 14:00:00-04:00,2019-10-28 14:00:00-04:00,2019-10-28,14:00:00,10,28,14,Campus_Dr_&_Presidential_Ave,7,3,127,5,13,38.985440,-76.954820,0,0
2019-10-28 14:15:00-04:00,2019-10-28 14:15:00-04:00,2019-10-28,14:15:00,10,28,14,Campus_Dr_&_Presidential_Ave,8,1,56,2,8,38.985440,-76.954820,0,0
2019-10-28 14:30:00-04:00,2019-10-28 14:30:00-04:00,2019-10-28,14:30:00,10,28,14,Campus_Dr_&_Presidential_Ave,6,7,80,1,1,38.985440,-76.954820,0,0
2019-10-28 14:45:00-04:00,2019-10-28 14:45:00-04:00,2019-10-28,14:45:00,10,28,14,Campus_Dr_&_Presidential_Ave,7,0,89,1,1,38.985440,-76.954820,0,0
2019-10-28 15:00:00-04:00,2019-10-28 15:00:00-04:00,2019-10-28,15:00:00,10,28,15,Campus_Dr_&_Presidential_Ave,13,1,109,3,2,38.985440,-76.954820,0,0
2019-10-28 15:15:00-04:00,2019-10-28 15:15:00-04:00,2019-10-28,15:15:00,10,28,15,Campus_Dr_&_Presidential_Ave,7,1,102,4,5,38.985440,-76.954820,0,0
2019-10-28 15:30:00-04:00,2019-10-28 15:30:00-04:00,2019-10-28,15:30:00,10,28,15,Campus_Dr_&_Presidential_Ave,5,2,62,4,2,38.985440,-76.954820,0,0
2019-10-28 15:45:00-04:00,2019-10-28 15:45:00-04:00,2019-10-28,15:45:00,10,28,15,Campus_Dr_&_Presidential_Ave,0,1,67,2,1,38.985440,-76.954820,0,0
2019-10-28 16:00:00-04:00,2019-10-28 16:00:00-04:00,2019-10-28,16:00:00,10,28,16,Campus_Dr_&_Presidential_Ave,1,0,47,0,0,38.985440,-76.954820,0,0
2019-10-28 16:15:00-04:00,2019-10-28 16:15:00-04:00,2019-10-28,16:15:00,10,28,16,Campus_Dr_&_Presidential_Ave,6,3,67,1,0,38.985440,-76.954820,0,0
2019-10-28 16:30:00-04:00,2019-10-28 16:30:00-04:00,2019-10-28,16:30:00,10,28,16,Campus_Dr_&_Presidential_Ave,7,3,68,3,0,38.985440,-76.954820,0,0
2019-10-28 16:45:00-04:00,2019-10-28 16:45:00-04:00,2019-10-28,16:45:00,10,28,16,Campus_Dr_&_Presidential_Ave,3,0,64,0,0,38.985440,-76.954820,0,0
2019-10-28 17:00:00-04:00,2019-10-28 17:00:00-04:00,2019-10-28,17:00:00,10,28,17,Campus_Dr_&_Presidential_Ave,1,5,69,2,0,38.985440,-76.954820,0,0
2019-10-28 17:15:00-04:00,2019-10-28 17:15:00-04:00,2019-10-28,17:15:00,10,28,17,Campus_Dr_&_Presidential_Ave,13,1,99,2,0,38.985440,-76.954820,0,0
2019-10-28 17:30:00-04:00,2019-10-28 17:30:00-04:00,2019-10-28,17:30:00,10,28,17,Campus_Dr_&_Presidential_Ave,5,0,122,3,2,38.985440,-76.954820,0,0
2019-10-28 17:45:00-04:00,2019-10-28 17:45:00-04:00,2019-10-28,17:45:00,10,28,17,Campus_Dr_&_Presidential_Ave,14,14,133,4,6,38.985440,-76.954820,0,0
2019-10-28 18:00:00-04:00,2019-10-28 18:00:00-04:00,2019-10-28,18:00:00,10,28,18,Campus_Dr_&_Presidential_Ave,5,0,187,1,2,38.985440,-76.954820,0,0
2019-10-28 18:15:00-04:00,2019-10-28 18:15:00-04:00,2019-10-28,18:15:00,10,28,18,Campus_Dr_&_Presidential_Ave,5,0,186,3,6,38.985440,-76.954820,0,0
2019-10-28 18:30:00-04:00,2019-10-28 18:30:00-04:00,2019-10-28,18:30:00,10,28,18,Campus_Dr_&_Presidential_Ave,0,2,40,0,0,38.985440,-76.954820,0,0
2019-10-28 18:45:00-04:00,2019-10-28 18:45:00-04:00,2019-10-28,18:45:00,10,28,18,Campus_Dr_&_Presidential_Ave,0,0,5,0,0,38.985440,-76.954820,0,0
2019-10-28 19:00:00-04:00,2019-10-28 19:00:00-04:00,2019-10-28,19:00:00,10,28,19,Campus_Dr_&_Presidential_Ave,0,0,2,0,0,38.985440,-76.954820,0,0
2019-10-28 19:15:00-04:00,2019-10-28 19:15:00-04:00,2019-10-28,19:15:00,10,28,19,Campus_Dr_&_Presidential_Ave,0,0,7,0,0,38.985440,-76.954820,0,0
2019-10-28 19:30:00-04:00,2019-10-28 19:30:00-04:00,2019-10-28,19:30:00,10,28,19,Campus_Dr_&_Presidential_Ave,0,0,2,0,0,38.985440,-76.954820,0,0
2019-10-28 19:45:00-04:00,2019-10-28 19:45:00-04:00,2019-10-28,19:45:00,10,28,19,Campus_Dr_&_Presidential_Ave,0,0,7,0,0,38.985440,-76.954820,0,0
2019-10-28 20:00:00-04:00,2019-10-28 20:00:00-04:00,2019-10-28,20:00:00,10,28,20,Campus_Dr_&_Presidential_Ave,0,0,2,0,0,38.985440,-76.954820,0,0
2019-10-28 20:15:00-04:00,2019-10-28 20:15:00-04:00,2019-10-28,20:15:00,10,28,20,Campus_Dr_&_Presidential_Ave,1,1,2,0,1,38.985440,-76.954820,0,0
